County,Category,Skilled_Construction_Worker,Status_of_Accreditation,Year_Accredited,Site_Supervisor,Class,Year_Accreditated_SS,Unacrredited,Number_applied,Gender,Age,Education,Other_Education,Q4,Q4_Others,Q5a,Q5b,Q5c,Q5cOthers,Q6,Q7a,Q7b,Q7c,Q8,Q8_Specify,Q9,Q9other,Q10,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q12m,Q12n,Q12o,Q12p,Q12q,Q12r,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q13k,Q13l,Q13m,Q13n,Q13o,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q14n,Q15,Q16,Q17,Q18,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,X1_Awareness,X2_Training,X3_Financial,X4_Process,X5_Recognition_and_Value,X6_Support_System,X7_Stakeholder_committement,X8_Nature_of_Work,X9Legal_and_Institutional,X10_Devolved_Registration,X11Wages,Likelihood,Accreditation_Status,Probability,accreditation_status_2
MURANG'A,1,1,0, , , , ,1,5,1,4,2, ,6, ,MASON,1,2, ,5,2, , ,2, ,2, ,2,7,1,7,1,1,7,6,4,4,4,4,2,3,4,3,2,3,2,3,5,5,5,5,3,5,4,7,1,3,1,1,1,1,1,7,4,6,4,7,4,7,4,7,5,7,7,7,7,YES.JOB OPPORTUNITIES,APPLICATIONS DIDN'T GO THROUH, , ,1.02174596372952,.51842963547418,-2.82205255015852,-.906159281415147,2.50796247585894,-.0988486891203438,-.14752821700999,.154421939025109,-1.11964190268332,-.184074798867839,3.4,4.5,3.25,2.6,4.6,3.5,1,5.66666666666667,5.2,6,7,1,1,1,1
KIAMBU,1,1,0, , , , ,1,2,1,2,2, ,7, ,STEEL FIXER,2,1, ,2,1,2, ,2, ,3, ,2,4,1,1,7,1,7,7,7,7,1,4,1,7,1,1,1,2,1,1,7,1,7,4,7,7,7,1,1,1,1,7,1,1,1,7,7,7,7,1,1,1,1,7,1,1,1,1,1,NO,LACK OF INFORMATION,CREATE MORE AWARENESS, ,2.18544589849671,-2.60639421420002,-1.71199116757068,-.821165860973709,-1.26953712557213,-.244338626256432,.848163953822594,.566178139251842,1.31486276635535,-1.12215662612636,3.4,5.5,3.25,1.2,5.2,3,2.5,7,2.2,4,1,99,1,.571428571428571,1
KIAMBU,1,1,0, , , , ,2, ,1,2,3, ,5, ,PAINTER,2,1, ,1,2,2, ,2, ,2, ,2,6,1,1,1,1,1,1,2,2,2,1,1,1,1,4,7,1,1,1,1,1,1,1,3,3,3,2,2,2,2,3,3,4,2,1,1,2,2,2,3,1,2,1,3,1,3,1,3,YES. EXPOSURE,REDUCE FEES,RECOGNITION, ,-1.90898901590478,-.797921382931502,.799533856603694,-.514776150458906,-.777438114268521,-1.17794548737609,-.49653996862614,-.372181115600675,-.752015831399885,-.592979651314117,1,1.75,1,2.8,1.4,2.33333333333333,3,1.33333333333333,2,2,2,1,0,.857142857142857,1
KIAMBU,1,1,0, , , , ,2, ,1,2,2, ,0, ,STEEL FIXER,2,1, ,2,2,2, ,2, ,2, ,2,7,5,4,1,1,7,7,7,7,7,7,7,1,1,4,1,1,1,1,7,7,7,7,7,7,5,7,5,7,7,1,7,7,7,5,7,7,7,7,7,1,7,7,7,5,5,7,7,YES.ASSURANCE,LACK OF INFORMATION,PRODUCE CARDS ON TIME,APPRECIATE ONSITE TRAININGS,1.08830711215888,.529323825817744,1.32686184558103,-3.28531894422113,1.34981745776645,.156927053561343,.37916685561149,1.55361090567638,-.303044709860643,-1.03634545295689,3.6,7,4,1.6,7,6.33333333333333,5.5,6.33333333333333,5.8,7,6,1,0,1,1
KIAMBU,1,1,0, , , , ,2, ,1,4,6, ,1, ,MASON,1,3, ,1,1,1, ,2, ,1, ,2,7,5,5,5,6,6,6,6,6,6,7,6,1,6,7,6,6,6,1,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,7,6,6,5,6,6,4,6,6,6,6,5,5,5,YES.CARES THE WELFARE OF EMPLOYEES,FINANCIAL CONSTRAINTS,TRAIN WORKERS,INCREASE TRAINING,.351374851002018,.339764001130524,.991883674081614,-.258369786594097,.309310646369323,.134579778670466,.38679109422306,.173006866727008,.47036204644392,-.11755579564713,5.4,6,5,5.2,6,5.66666666666667,6,6.33333333333333,5.4,6,5.25,1,0,1,1
KIAMBU,1,1,0, , , , ,1,1,1,3,4, ,1, ,ELECTRICIAN,1,2, ,1,1,2, ,2, ,2, ,3,7,1,1,1,1,7,7,7,7,7,7,1,1,4,7,1,1,1,5,7,7,7,4,6,7,6,4,6,7,6,4,7,6,7,7,4,6,7,4,6,4,6,5,7,6,4,4,7,"YES.JOB SECURITY,",PAYING ACCREDITATION FEE,PRODUCE CARDS ON TIME,APPRECIATE ONSITE TRAININGS,.86961298789304,-.0622722787242219,1.44272807726954,-1.8731194983415,.94004919326872,-.355553693664273,.631268622925548,1.25732788189513,-.204257979495939,-2.06659322834679,2.2,7,3.25,3,6.2,6,6,5.66666666666667,5.4,6,5.25,1,1,1,1
KIAMBU,1,1,0, , , , ,2, ,1,3,6, ,0, ,PLUMBER,2,1, ,1,1,2, ,2, ,1, ,2,5,1,1,1,1,1,7,7,7,7,7,7,1,4,7,7,1,4,1,4,7,1,7,5,7,7,7,7,7,7,1,7,1,4,7,7,7,1,7,7,1,1,7,4,7,1,1,3,YES. EXPOSURE,LACK OF INFORMATION,CREATE MORE AWARENESS, ,-1.16677350139596,2.00842267227313,.254771255857673,-1.14661761471539,-1.54983794353226,1.3654563108933,1.9711246747781,2.18944307270176,-2.23807756315772,-2.19346714213906,1,7,4.75,4,4.8,7,3.25,7,3.4,5.5,3,1,0,.714285714285714,1
KIAMBU,1,1,0, , , , ,1,1,1,6,4, ,1, ,STEEL FIXER,1,2, ,4,2,2, ,2, ,1, ,2,7,7,1,1,5,4,1,1,1,4,5,5,1,1,4,7,1,1,7,5,7,7,5,5,7,7,4,5,4,4,5,4,4,5,4,5,5,5,7,5,5,5,7,7,4,1,1,1,YES.RECOGNITION,LACK OF AWARENESS,"CREATE MORE AWARENESS, MORE SITES VISITS",INCREASE SITES VISITS,.217592314890756,1.40906786863307,.12421771662154,-1.1889448822093,-1.4188168933678,.252485139753303,-2.52834453340948,2.04661223986802,-.726427863690792,.524874718035718,3.6,1.75,3,4,5.8,5.16666666666667,4.5,4.66666666666667,5.4,7,1.75,1,1,1,1
KIAMBU,1,1,0, , , , ,2, ,1,2,2, ,1, ,STEEL FIXER,2,1, ,1,2,2, ,2, ,2, ,2,7,1,1,1,1,7,6,1,1,1,1,4,6,1,6,6,7,4,5,6,1,1,1,1,1,1,6,6,6,6,3,3,3,3,1,5,4,1,7,7,7,1,1,1,3,1,1,1,YES,LACK OF TIME ON SITE,REDUCE FEES,READILY AVAILABLE,-.882059435134496,-.306401863855567,1.06699527546506,1.91211348762107,-1.81042785714756,1.13817695991678,-1.37193675060714,-2.07562849561808,-.781188116013829,-1.16672863184177,2.2,2.25,3,5.6,2,4.33333333333333,3,3.33333333333333,4.6,1,1.5,1,0,1,1
KIAMBU,1,1,0, , , , ,1,1,1,4,3, ,7, ,STEEL FIXER,2,1, ,3,1,2, ,1, ,2, ,2,2,1,1,6,7,6,7,7,6,1,5,1,1,4,5,1,4,4,4,4,3,4,1,7,1,3,1,7,1,1,1,4,2,5,1,3,7,7,1,2,1,7,1,7,2,1,7,2,YES.JOB OPPORTUNITIES,INCREASE PAYMENT,INCREASE PAYMENT,INCREASE PAYMENT,.642119157703891,-1.31055449851059,-.396550216551551,-.323544463176087,-.237462574450806,-1.01711024146724,-.412666858982664,-1.196756685943,4.09817902933143,-2.43493583919282,4.2,5.25,2.75,3.6,3.8,2.33333333333333,3,3.66666666666667,3.6,4,3,0,1,.285714285714286,1
KIAMBU,1,1,0, , , , ,2, ,1,2,2, ,0, ,CARPENTER,1,2, ,1,2,2, ,2, ,2, ,2,7,1,1,7,7,7,4,7,1,1,1,1,3,4,7,4,7,1,2,1,2,3,4,3,2,2,3,3,2,3,4,5,6,7,7,7,7,7,7,7,1,4,7,7,1,1,1,7,YES.GAINED EXPERIENCE,LACK OF INFORMATION,CREATE MORE AWARENESS, ,.940259571203194,1.61608786972654,.308481835366031,.348822977536531,-.652617385079803,-1.74828200288529,-.38169587547946,-2.67325287491532,2.06446178526488,-2.52252178570825,4.6,3.25,2.25,4.2,2.6,2.5,5.5,7,5.2,7,2.5,1,0,1,1
KIAMBU,1,1,0, , , , ,2, ,1,4,6, ,0, ,MASON,1,3, ,2,1,2, ,2, ,1, ,4,7,7,7,1,7,5,7,7,7,7,1,2,1,1,7,7,1,1,1,7,7,7,1,7,7,7,1,1,7,7,7,7,1,7,7,7,7,7,7,7,1,3,7,7,7,1,7,1,YES. EXPOSURE,REDUCE FEES,ENFORCEMENT ON SITES, ,.627786024490239,.746920654676993,1.26572979751028,-2.62438196210077,-.253539137168263,-2.27333841480354,1.37497798316795,.880105338598934,-.192544109132362,2.01126116265478,5.4,7,1.25,3.4,5.8,5,5.5,7,5,7,4,1,0,1,1
KIAMBU,1,1,0, , , , ,2, ,1,3,2, ,6, ,MASON,2,1, ,2,2, , ,2, ,2, ,2,7,1,2,4,1,4,5,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4,6,1,4,1,1,4,1,1,4,4,4,1,4,5,4,1,6,4,1,6,6,6,1,1,1,1,YES.JOB OPPORTUNITIES,LACK OF TIME ON SITE,ONSITE REGISTRATION,INCREASE TIME FOR REGISTRATION,-.0753067479134723,1.56617696846861,-.855008805553625,-1.02784919077958,-1.26525118722989,-1.01944646880908,-1.64542286933294,-.469194484405661,.297661376080299,-1.01770294982743,2.4,2,1,2.2,3.2,2,3.25,4.33333333333333,3.6,6,1,1,0,1,1
KIAMBU,1,1,0, , , , ,2, ,1,2,6, ,1, ,STEEL FIXER,1,3, ,1,2,2, ,2, ,5, ,2,4,4,4,4,6,6,4,6,6,6,1,1,7,7,4,7,4,4,1,3,3,4,7,5,7,7,7,7,4,1,7,7,7,7,7,7,7,4,7,7,1,1,7,7,1,1,6,1,YES.RECOGNITION,LACK OF INFORMATION,INCREASE PROGRAMS,SIMPLIFY PROCESS OF CARDS,.0304514983072908,1.02641583155884,.0186053264893905,.797280926076169,-1.5350898169119,-.86079580227932,1.79629537703242,.437020919113914,.328375513002389,-1.31624100686884,4.8,5.5,4,4,4.4,5.5,7,7,4,7,2.25,99,0,.571428571428571,1
KIAMBU,1,1,0, , , , ,1,2,1,7,4, ,1, ,STEEL FIXER,1,2, ,3,2, , ,2, ,2, ,2,7,5,5,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,3,7,7,7,7,5,2,7,7,7,2,7,7,7,2,4,4,7,7,1,7,7,4,7,7,7,4,1,1,4,YES.JOB OPPORTUNITIES,JOB SECURITY,FACILITATE ACCREDITATION, ,.654649432797253,1.86532869059563,-.335561848693257,-.27540470418589,-1.29358984056442,.740438828438194,-.721481732793924,.629996497149698,-.448218129646435,-.143231571400045,4.6,5,4,4.6,6.6,5.33333333333333,5,6,5.2,7,2.5,1,1,1,1
KIAMBU,1,1,0, , , , ,2, ,1,2,1, ,1, ,CARPENTER,2,1, ,2,1, , ,2, ,2, ,2,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,YES.JOB OPPORTUNITIES,REDUCE FEES,REDUCE FEES,MISIDENTIFICATION ON THE CARD PHOTOS,.647397825295263,.642939825648576,-.0117505411209914,.5773998657221,1.17126028351637,1.43978276472097,.779854373094277,.174074219776546,-.390326043970779,.750902476934923,6.4,7,7,5.8,7,7,5.5,7,7,7,7,1,0,1,1
NAIROBI,1,1,0, , , , ,2, ,1,2,6, ,0, ,Glaziers,1,1, ,1,2, , ,2, ,1, ,1,3,1,1,1,1,1,4,7,7,7,1,1,1,1,4,5,3,1,1,1,1,1,1,1,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,7,1,1,1,5,"Yes, it helps in the determination",Illiteracy,Provision of online training and accredi,It is beneficial for every employee,-2.42939020350256,.387483585307809,-1.04649748901561,-.487201430264214,-.401879612095534,-1.27571944545977,2.09227839850135,-.0652909141724022,-.978848488045288,-1.12476816699995,1,6.25,1,2.8,1,2.5,1,1,2.8,4,2,0,0,.428571428571429,1
NAIROBI,1,1,0, , , , ,1,2,1,7,1, ,2, ,Plant Operator,1,1, ,5,2, , ,2, ,5, ,2,7,7,7,7,1,1,1,1,1,7,7,7,1,1,7,7,1,1,1,7,7,5,7,7,7,7,7,7,1,7,7,7,1,7,7,7,7,7,7,7,4,7,7,7,1,1,1,1,"Yes, assistive in getting work.",Delay in proccessing caards.,More effecient systems to enhance the pr,N/A,.53491369724096,2.01588515108174,.588393060004186,-1.96996694778595,-1.85257264853044,.93799410453147,-1.766811608912,1.72249490599085,-.592148309324134,.949216555651087,4.6,2.5,4,3.4,6.6,6,5.5,7,6.4,7,1,1,1,1,1
NAIROBI,1,1,0, , , , ,1,1,1,4,2, ,1, ,Mason,1,2, ,2,2, , ,2, ,2, ,2,7,5,5,1,7,7,7,4,4,4, ,1,1,1,1,1,1,1,1,7,1,4,4,4,1,1,3,1,1,1,1,3,1,1,7,4,7,4,4,4,1,1,4,4,4,1,1,1,"Yes, in job opportunities.","Lack of awareness, proccessin",More onsite visits.,N/A,1.3140008497213,-.61326531436213,-1.73274106736429,-1.8298286690318,-.782894596140986,-.364213813421831,-.0269027254124152,-1.17819187283935,1.01201742559489,.453441166338121,5,4.75,1,1,4,1.33333333333333,1.5,6,2.8,4,1.75,1,1,1,1
NAIROBI,1,1,0, , , , ,1,4,1,3,2, ,6, ,Mason,2,1, ,1,2,2,N,2, ,2, ,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes, it give you exposure.",High fees.,Create awareness on accreditation.,None,-1.34567763873075,-1.6549785698296,-.357127245836836,-.904590659349209,-.778932179255578,-.675755336413676,-1.06074318309106,-.560215593468317,-.771077963465215,-.434906942857252,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1
NAIROBI,1,1,0, , , , ,2, ,1,3,2, ,1, ,Mason,2,1, ,1,2, , ,2, ,2, ,1,7,1,1,1,2,1,4,3,3,5,4,4,4,4,4,4,4,4,4,3,5,1,4,4,4,4,4,4,4,4,2,7,5,4,4,4,4,4,4,5,3,4,4,4,1,2,4,4,"No, because I still dont know the",Lack of knowledge.,Lack of sensitisation., ,-.485797707745777,-.0500520307744672,.678333601165275,.351072997836851,-.576293033077433,.354694529067639,-.0194607923284538,-.212867669823916,-1.31542553950186,-1.81120507018332,1.2,3.75,4,4,3.4,4,4.5,4,4,4,2.75,1,0,1,1
NAIROBI,1,1,0, , , , ,2, ,1,2,2, ,0, ,Steel Fixer,2,1, ,1,2, , ,2, ,2, ,2,4,1,3,1,3,1,1,7,7, ,1,1,1,1,1,1,3,3,2,7,7,7,6,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,"No, no information on it.",Because pf lack of informatio,Increase site visits.,N/A,2.26951904927017,-2.30053477453746,-1.78399214251139,-.271612592657566,-1.10956832382272,-1.47461660219353,1.1413366950955,-.255190162976715,-1.76214992667491,-.286693192988405,1.8,5,1,2,5.6,1,1,7,1,1,1,99,0,.571428571428571,1
NAIROBI,1,1,0, , , , ,2, ,1,5,3, ,1, ,Scaffolder,2,1, ,2,1,2, ,2, ,3, ,2,7,1,1,1, ,7,1,7,7,7,1,7,1,1, ,1,1,1,1,1,7,1,1,4, ,7,7,7,7, ,1,7, ,7,1,1,1,1,7,7,1,1,7,7,7,1,1,4,No,High fees,Reduce fees,N/A,-3.17168810126411,2.11244089796161,1.52473773032748,-2.38732278701024,-.311236918860207,-.18779497283522,1.10773983045834,1.60962925303173,-.812651999654824,-1.46703148493864,2.5,5.5,2.5,1,2.8,7,5,1,3.4,7,3.25,1,0,1,1
NAIROBI,1,1,0, , ,1, ,2, ,1,2,2, ,1, ,Scafforlder,2,1, ,1,2,2, ,2, ,3, ,2,6,1,1,7,1,7,7,7,7,1,1,7,1,1, , ,7, ,7,1,7,7,1,7,1,7,7,1,1,1,1,7,1,7,1,1,7,1,1,7,1,7,1,7,7,7,7,1,Yes,Information on accreditation,Sensitisation, ,-.873764430865843,-.36726824471926,-1.1532672848386,.116406181410409,.820329764402412,-1.58577211894464,.310782734087142,1.51841003596395,2.68193546237717,-2.38135105267506,3.4,5.5,2.5,7,4.6,3,4,3,3.4,4,5.5,1,0,.857142857142857,1
NAIROBI,1,1,0, , ,1, ,2, ,1,3,3, ,2, ,"Carpenter, Scaffolder",2,1, ,1,2,2, ,2, ,3, ,2,7,1,7,7,7,1,4,1,1,7,1, ,4,4,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,1, ,7,Yes,No information on accreditati,Sensitisation on accreditation, ,-.883923497263882,1.41265152640685,2.05357820038558,.834867692283215,.321486392405325,-.996875651027248,-1.45524764563797,1.4910764348468,-.410621333898053,-.180088728961246,4.6,3.25,3,5.8,7,7,7,3,7,7,5,1,0,1,1
NAIROBI,1,1,0, , , , ,2, ,1,5,1, ,1, ,Mason,2,1, ,4,2, , ,2, ,2, ,1,6,1,3,1,3,3,5,5,5,7,7,7,2,2,3,1,4,4,3,7,7,7,6,3,1,7,7,7,1,7,1,7,1,5,7,7,7,3,3,4,3,3,3,3,3,1,3,7,"Yes, need for one to secure a job",Information not available,Sensitisation on accreditation, ,1.31921851150694,-.708576336309257,-.115210705231813,-1.05004357507005,-.473618421873393,1.57790617832835,-.143056397065327,.727057181314308,-.850438574380961,-1.83749730935202,2.2,5.5,4.5,3,6,5,3.5,7,3.2,3,3.5,1,0,.857142857142857,1
NAIROBI,1,1,0, , , , , , ,1,3,3, ,1, ,"Mason, Carpenter",1,4, ,2,2, , ,2, ,1, ,2,6,7,1,4,1,1,7,7,7,7,7,6,6,5,1,7,1,1,1,1,1,5,1,1,2,2,4,1,3,3,1,4,1,1,5,2,4,1,3,1,1,1,2,3,1,1,1,1,Sometimes important,Lack of awareness,NCA should educate workers on the import, ,-1.3749167322403,-1.25593816909374,-1.100883527052,-.634295924612026,-1.57199370448387,1.98523434365284,2.31535942241534,-.953182236030883,-1.08384037624383,.497212415778587,2.8,7,6,2.2,1.8,2.5,1.75,3.66666666666667,1.4,2.5,1,1, ,.857142857142857,1
NAIROBI,1,1,0, , , , ,1, ,1,3,4, ,1, ,Safety Officer,1,4, ,1,1, , ,2, ,1, ,3,5,1,1,1,1,1,1,7,7,1,1,1,1,1,1,7,2,1,1,1,1,1,1,1,5,1,1,4,2,2,1,2,1,1,6,2,1,5,1,1,3,1,1,1,1,1,1,1,"No, its not well popular among the",Lack of civil education,Every employer to make NCA accredtation,None,-1.07666737554793,-1.58083135906154,.209424927984809,-.496874986951406,-1.31998588566731,-.991501248498193,1.40009202640936,-1.18722603652559,-.903102640708058,-.602006721272824,1,4,1,2.4,1,2.5,1.25,3,2.2,1,1,1,1,.714285714285714,1
